Time;FEEDER #1 P80;FEEDER #2 P80;FEEDER #3 P80;NEW FEED BELT SCALE;NEW FEED P80;PEBBLE PRODUCT F80;SAG MILL FEED DENSITY;SM. PROC WATER FLOW;SM Total Feed Rate (Tonnage);Motor 1 Torque Real;Mill Power;SM Main Bearing FE (RHS) Pressure;SM Main Bearing DE (RHS) Pressure;Mill Speed Actual;SAG Mill Motors;SAG % Critical Speed;SAG Microphone #1;SAG PMD % Sound;CV2 Camera Pebbles;SM Scrn/Disch PB Wtr Flow;SAG SCRN MOT CUR;PEB CRUSHER POWER;PEB CV #1 BELT SCALE;PEBBLE CRUSHER GAP;PEB CV #6 WEIGHTOMETER
20-03-2019 05:44;2.303074;2.017616;2.470395;1721.973;2.166102;25.84473;62;1090.308;2002.747;90.61333;12475;7326.345;6482.443;10.48;104;78.72137;106.2715;50.63828;39.70872;375;34.49002;254.2031;251.857;17.98401;0.7306528
20-03-2019 05:44;2.318597;2.032663;2.470469;1711.757;2.181646;25.80261;62;1118.039;1995.27;91.355;12552;7298.114;6543.358;10.475;104;78.78394;106.7018;50.01706;39.70872;375;34.50411;252.4941;253.0076;17.98401;0.7571018
20-03-2019 05:44;2.314891;2.036106;2.47003;1703.487;2.179659;25.70501;62;1149.493;1998.566;91.15;12545;7283.42;6482.022;10.49;104;78.70261;107.1221;48.3562;39.70872;375;34.52021;248.9296;247.8566;17.98401;0.763714
20-03-2019 05:44;2.299731;2.05888;2.467259;1704.601;2.186001;25.546;62;1154.665;2001.911;91.30666;12556.67;7303.339;6537.151;10.48;104;78.79646;106.009;49.01972;39.67495;375;34.37664;247.2603;249.6031;17.98401;0.763714
20-03-2019 05:44;2.306715;2.086534;2.463319;1704.616;2.199032;25.53307;62;1133.196;2012.055;90.8275;12530;7340.618;6503.38;10.48;104;78.66507;106.0568;50.06225;39.60742;375;34.42362;245.8656;247.3838;17.98401;0.7703263
20-03-2019 05:44;2.339674;2.10052;2.461217;1721.95;2.218129;25.57765;62;1097.999;2052.155;91.36333;12563.33;7308.109;6499.136;10.48667;104;78.68384;106.9968;49.60343;39.60742;375;34.44777;252.604;242.3618;17.98401;0.7802446
20-03-2019 05:45;2.349392;2.122027;2.460277;1726.726;2.232905;25.57507;62;1100.313;2022.385;91.05667;12540;7292.538;6509.797;10.47;104;78.72138;106.1151;52.1577;39.60742;375;34.46387;242.2248;242.3751;17.98401;0.7711528
20-03-2019 05:45;2.365391;2.149443;2.458126;1707.221;2.256278;25.6335;62;1103.146;2015.553;91.17;12570;7285.104;6551.039;10.49;104;78.6463;105.8452;53.31826;39.60742;375;34.5021;249.5155;243.3;17.98401;0.7736324
20-03-2019 05:45;2.331;2.150007;2.460874;1705.608;2.248817;25.72767;62;1142.657;2002.075;90.9875;12522.5;7289.592;6497.277;10.48333;104;78.73389;106.3742;51.02507;39.60742;375;34.50813;248.3375;247.688;17.98401;0.7802446
20-03-2019 05:45;2.307372;2.150601;2.463557;1693.648;2.240571;25.71391;62;1170.489;1994.217;90.74;12496.67;7337.426;6477.534;10.49333;104;78.72138;106.7079;50.54956;39.60742;375;34.49606;247.2999;246.0151;17.98401;0.7306528
20-03-2019 05:45;2.302351;2.154604;2.468049;1719.593;2.238024;25.7418;62;1145.464;1992.481;91.21667;12570;7301.656;6523.965;10.5;104;78.78394;105.8462;50.12211;39.60742;375;34.49002;251.2428;241.7254;17.98401;0.7537957
